experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
independent,000012.JPG,0.7327937920777408,[0.90966722 0.87829887 0.90892634 0.68294142 0.4280909  0.588838  ],0.08721932490941153,0.08458780202968118,11031.402306079865,6222,1556
independent,000013.JPG,0.7219013668125922,[0.87624895 0.86185981 0.90878314 0.67355738 0.42295421 0.58800472],0.08865015320003632,0.0847118912505457,14021.074048995972,6148,1537
independent,000011.JPG,0.7547567243664188,[0.92588098 0.92090626 0.94584749 0.69634622 0.44882277 0.59073663],0.08707733531722338,0.0822140389466128,746.4494309425354,6131,1533
independent,000010.JPG,0.7427928573847038,[0.88357324 0.87895602 0.92141882 0.70213807 0.47287554 0.59779547],0.08664143877647854,0.08507559365384382,283.8241982460022,6116,1529
