experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
matern05_rank4,000012.JPG,0.7958830818589789,[0.96997455 0.93629179 0.97052852 0.74442958 0.52437434 0.62969971],0.07918421444719109,0.06596311831171385,745.114100933075,6222,1556
matern05_rank4,000013.JPG,0.7735787014086105,[0.92550293 0.91322991 0.94410569 0.73135335 0.50026567 0.62701466],0.08211585567082552,0.06364637555582496,734.5971879959106,6148,1537
matern05_rank4,000011.JPG,0.8033101454733623,[0.97369948 0.96730213 0.98320076 0.74971448 0.52331508 0.62262895],0.08067519944581272,0.06502464045887131,722.5432162284851,6131,1533
matern05_rank4,000010.JPG,0.8049477289921488,[0.96389519 0.94895814 0.97591249 0.75576284 0.54606166 0.63909606],0.07948340946157488,0.06515010520053127,704.5486960411072,6116,1529
