experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
matern05_rank1,000012.JPG,0.7943774549142332,[0.97549115 0.95576981 0.94656118 0.74443784 0.51616757 0.62783719],0.07949554232863974,0.06722533398817136,661.7938022613525,6222,1556
matern05_rank1,000013.JPG,0.7739629621324249,[0.93062082 0.91803606 0.93929802 0.7294688  0.50015319 0.62620089],0.0822067167631479,0.06472951242474641,639.3886439800262,6148,1537
matern05_rank1,000011.JPG,0.8001634242237947,[0.97197082 0.95841337 0.97900812 0.7484663  0.51998492 0.62313702],0.08090694494913038,0.0651832486522208,622.0004367828369,6131,1533
matern05_rank1,000010.JPG,0.8040947189517426,[0.96646119 0.94157644 0.97816722 0.75603785 0.54126612 0.6410595 ],0.07955406909242028,0.06437817964772466,701.5002121925354,6116,1529
