experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
matern15_rank2,000007.JPG,0.6506189414393025,[0.71157982 0.76794778 0.73377942 0.60116927 0.5312854  0.55795197],0.14200104406055764,0.27208965866909507,6.375428915023804,402,101
matern15_rank2,000008.JPG,0.6065660274937471,[0.74599665 0.75055961 0.75432769 0.50027807 0.42797968 0.46025447],0.15331340690668854,0.27083738021298065,6.181344032287598,392,99
matern15_rank2,000011.JPG,0.6354497842447853,[0.76680534 0.65992186 0.8584538  0.57238728 0.43231687 0.52281356],0.15204131147942765,0.2958574124215074,6.012075662612915,384,96
matern15_rank2,000009.JPG,0.6318131216706231,[0.79985057 0.76133039 0.81608819 0.51645406 0.3955683  0.50158722],0.14151264241579062,0.25098644108560275,6.000762224197388,380,95
