experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
matern15_rank4,000045.JPG,0.8390999588357538,[0.99677738 0.99212626 0.9964021  0.74041556 0.68017946 0.62869898],0.1074639445804986,0.18816998243459934,74.22717690467834,1954,489
matern15_rank4,000043.JPG,0.8524386351955666,[0.98887003 0.9823792  0.99794326 0.77057791 0.72299527 0.65186614],0.10228182379532111,0.18893859980810623,67.94596791267395,1912,479
matern15_rank4,000044.JPG,0.8390756446039368,[0.9865212  0.99331567 0.99721219 0.74975913 0.68804511 0.61960056],0.10156513643359505,0.17231947217660692,69.11207914352417,1906,477
matern15_rank4,000082.JPG,0.7349885227979823,[0.99098657 0.97374514 0.98237656 0.57698429 0.4985518  0.38728678],0.11481189163595955,0.1687905332342069,73.43568396568298,1876,469
