experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
mixed_matern_rank1,000045.JPG,0.8460671680404803,[0.99859592 0.99473544 0.99967003 0.7546519  0.70566675 0.62308296],0.10512914236313438,0.18536468717651983,67.72649121284485,1954,489
mixed_matern_rank1,000043.JPG,0.8594643777858503,[0.99719346 0.98725508 0.99927236 0.77812973 0.73181111 0.66312453],0.10016402001055247,0.18106871649580186,64.49443984031677,1912,479
mixed_matern_rank1,000044.JPG,0.8496330340002823,[0.99854227 0.99428495 0.99960083 0.76430719 0.71420612 0.62685684],0.09849546578997553,0.17588431210664254,67.97170400619507,1906,477
mixed_matern_rank1,000082.JPG,0.7557344869932932,[0.99583456 0.96565804 0.98266635 0.60770856 0.52589598 0.45664344],0.11022526767074335,0.15931008741113206,63.42263412475586,1876,469
