experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
matern05_rank4,000069.JPG,0.7860036276053853,[0.9959418  0.99648274 0.98986371 0.61996225 0.54926083 0.56451043],0.1105790432670325,0.17443659059348876,76.33879709243774,2083,521
matern05_rank4,000099.JPG,0.8222805176175491,[0.9981533  0.99879227 0.996192   0.68094105 0.61130807 0.64829641],0.10133584172566008,0.15968322023884202,66.9681339263916,1981,496
matern05_rank4,000127.JPG,0.8153307599786114,[0.98857703 0.98983194 0.96255697 0.69000507 0.60157999 0.65943357],0.09623901056731093,0.16008245459924325,67.68831419944763,1966,492
matern05_rank4,000068.JPG,0.8140960705632901,[0.99749557 0.99634723 0.98938682 0.68448855 0.58387245 0.6329858 ],0.10266567243191496,0.1669987710318191,63.118743896484375,1952,489
