experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
matern05_rank1,000069.JPG,0.7782520022838186,[0.99711917 0.99702525 0.99011667 0.60599993 0.52684439 0.5524066 ],0.11260715804260549,0.17919514025971128,75.89174509048462,2083,521
matern05_rank1,000099.JPG,0.8215561110961702,[0.99928557 0.99808506 0.99621369 0.68007692 0.60585094 0.64982449],0.10157027371806361,0.1606511892440097,66.44062829017639,1981,496
matern05_rank1,000127.JPG,0.8134014966804924,[0.98849382 0.99004794 0.96132863 0.69079876 0.59426689 0.65547295],0.09672287730751146,0.16375585230514664,63.852514028549194,1966,492
matern05_rank1,000068.JPG,0.8120459594268983,[0.99740961 0.99687889 0.9885261  0.68406477 0.5768249  0.62857148],0.10318427163920264,0.1707559390343253,60.07122302055359,1952,489
