experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
mixed_matern_rank3,000069.JPG,0.7795657440303444,[0.99767812 0.99700026 0.98999768 0.61035596 0.52948564 0.5528768 ],0.11225812343508464,0.1816203350635988,84.40732479095459,2083,521
mixed_matern_rank3,000099.JPG,0.8160185538694728,[0.99854531 0.99867387 0.9958002  0.66642786 0.5961653  0.64049878],0.10312363687992908,0.16232857772598888,75.16262602806091,1981,496
mixed_matern_rank3,000127.JPG,0.8142241321470697,[0.98682307 0.98888848 0.95939536 0.69062485 0.60012361 0.65948942],0.09652477232085462,0.16212100487394338,72.07777094841003,1966,492
mixed_matern_rank3,000068.JPG,0.8112754863174407,[0.99545876 0.99706553 0.98800778 0.68617682 0.57378153 0.62716249],0.10331533082700296,0.17127817505253212,69.0121488571167,1952,489
