experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
matern25_rank2,000069.JPG,0.7471316333518528,[0.98977052 0.99477662 0.98739842 0.55700421 0.45493743 0.4989026 ],0.12020240692451607,0.22064486824628116,85.60167598724365,2083,521
matern25_rank2,000099.JPG,0.7886807538475858,[0.99628531 0.99802013 0.99359846 0.61774674 0.53320475 0.59322913],0.1104754354171221,0.17402266342317843,78.74294781684875,1981,496
matern25_rank2,000127.JPG,0.778596623977294,[0.97669433 0.98481305 0.95450803 0.63008692 0.53088899 0.59458842],0.10528566127317554,0.18817355941078096,82.80518412590027,1966,492
matern25_rank2,000068.JPG,0.7942465200843727,[0.99522177 0.9958189  0.9820935  0.65689918 0.54835646 0.58708932],0.10781819721122905,0.18795708842841866,75.14165925979614,1952,489
