experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
matern15_rank2,000069.JPG,0.768118056402022,[0.99609612 0.99634481 0.98787528 0.58863315 0.51326989 0.52648909],0.11509919491608657,0.18946386804843862,78.17535305023193,2083,521
matern15_rank2,000099.JPG,0.8015320415229067,[0.99823652 0.99631092 0.99416427 0.64710139 0.5657281  0.60765105],0.1071157881331691,0.1678074682524237,70.27191615104675,1981,496
matern15_rank2,000127.JPG,0.7918942804990844,[0.98550358 0.98820072 0.95878591 0.647057   0.55089805 0.62092041],0.10218305189701467,0.1774490358796259,70.02477884292603,1966,492
matern15_rank2,000068.JPG,0.805208952426984,[0.99448079 0.99591248 0.985457   0.67559548 0.56775488 0.61205309],0.10492355636745103,0.17330968064643804,67.71605467796326,1952,489
